Název,Region,Primární zatřídění,Sekundární zatřídění,Terciální zatřídění,Popis,Název vyššího územního samosprávného celku,Kód vyššího územního samosprávného celku dle číselníku ČSÚ,Název okresu,Kód okresu dle číselníku ČSÚ,Název správního obvodu obce s rozšířenou působností,Kód správního obvodu obce s rozšířenou působností dle číselníku ČSÚ,Název obce,Kód obce dle číselníku ČSÚ,Název ulice,Číslo popisné nebo evidenční podle typu čísla domovního,Typ čísla domovního,Číslo orientační,PSČ,Webové stránky,Telefon,Mobil č. 1,Mobil č. 2,Fax,Email č. 1,Email č. 2,Zápis vektorové geometrie,Zeměpisná délka v souřadnicovém systému WGS84,Zeměpisná šířka v souřadnicovém systému WGS84,Jedinečný identifikátor v katalogu otevřených dat Data KHK,ID,x2,y2
Pivovar a hostinec U Hušků,Běleč nad Orlicí / Hradecko,Ubytování a stravování / Stravování,Recepty a produkty / Pivovary,,"

Hostinec postavil pravděpodobně Josef Karel Janský. V roce 1911 koupil hostinec v dražbě obchodník s koňmi Josef Hušek, přezdívaný &bdquo;Car&ldquo;. Rodina Huškova provozovala hostinec do padesátých let, kdy byl spolu s přilehlými objekty vyvlastněn. V létě roku 1993 byla dokončena v západní části hostince výstavba minipivovaru.  
 
Pivo dostalo název po Josefu Huškovi a jeho přezdívce, tedy CAR. Josef Hušek byl prapradědečkem současného majitele.  
 
Pivovar vaří a nabízí několik druhů kvasnicových piv : 
 

Bělečský car je domácí nefiltrovaný ležák 12&deg;.

Bělečská carevna je domácí nefiltrovaná černá 13&deg;. 
 
Bělečská včelka je domácí nefiltrovaný ležák 12&deg; s medovou příchutí.  
 ",Králohradecký kraj,CZ052,Hradec Králové,5205,Hradec Králové,CZ0521,Běleč nad Orlicí,569852,,2,č.p.,,50346,www.pivovaruhusku.webnode.cz,,"4,2060556754e+11","4,2077442273e+11",,pivovaruhusku@pivovaruhusku.cz,,POINT(50.19720722 15.94189778),15.94189778,50.19720722,PIV11,11,1774643.9431,6480498.9635
Pivovar Agent,Olešnice v Orlických horách / Orlické hory a Podorlicko,Recepty a produkty / Pivovary,,,"Pivovar Agent vaří nefiltrovaná a nepasterizovaná piva. Sortiment postupně rozšiřují na většinu známých druhů piv spodního i svrchního kvašení.  
 Pivo Agent si můžete koupit přímo v pivovaru, ideálně po předchozí telefonické nebo e-mailové domluvě. Od jara 2020 bude otevřena restaurace, letní zahrádka a ubytování. 
 V současnosti pivovar nabízí tato piva: 
 Premibum pale lager 12 
 Pale lager 11Light pale lager 10Irish Stout 15 – Black GunAmerican pale ale 13 – Fenomén",Králohradecký kraj,CZ052,Dobruška,5202,Rychnov nad Kněžnou,CZ0524,Olešnice v Orlických horách,576573,,63,č.p.,,51783,www.pivoagent.cz,,420 603 212 443,,,pivovar@pivoagent.cz,,POINT(50.36692685 16.28249444),16.28249444,50.36692685,PIV12,12,1812558.9899,6510065.2787
"Pivovar Baron, Opočno",Opočno / Orlické hory a Podorlicko,Recepty a produkty / Pivovary,,," 
 ",Králohradecký kraj,CZ052,Dobruška,5202,Rychnov nad Kněžnou,CZ0524,Opočno,576590,Hradecká,217,č.p.,,51773,www.pivobaron.cz,,"4,2073135063e+11","4,2060551161e+11",,info@pivobaron.cz,,POINT(50.26795592 16.10900271),16.10900271,50.26795592,PIV13,13,1793245.9789,6492811.0586
"Pivovar Beránek, Stěžery",Stěžery / Hradecko,Recepty a produkty / Pivovary,Ubytování a stravování / Stravování,,"Pivovar, založený v roce 2018, má varnu o kapacitě 22 hektolitrů. Výstav pivovaru činí cca 2 500 hektolitrů. Pro hosty je k dispozici restaurace o kapacitě 60 míst, zahrádka - 60 míst a sál pro akce, svatby a školení se 120 místy. V pivovarské restauraci je na čepu pivo Beránek, tmavý speciál Černá ovce a světlý 12% ležák Beran. Příležitostně zde také vaří vánoční, velikonoční a jiné pivní speciály. 
 ",Králohradecký kraj,CZ052,Hradec Králové,5205,Hradec Králové,CZ0521,Stěžery,570931,Zámecká,11,č.p.,3,50321,www.pivovarberanek.cz,,420 778 466 226,,,beranek@pivovarberanek.cz,,POINT(50.21440278 15.74802028),15.74802028,50.21440278,PIV14,14,1753061.5986,6483489.7537
Pivovar Broumov,Broumov / Broumovsko,Recepty a produkty / Pivovary,,,"Pivovar nabízí široký sortiment piv pod značkou Olivětínský opat,  kromě výroby klasických výčepních piv a ležáků vyrábí také piva speciální a piva nefiltrovaná. 
 Pro návštěvníky je zde možnost exkurze, zajímavostí je zdejší pivovarnické muzeum - stála expozice pivovarnictví, zaměřená na historii zdejšího pivovaru. 
 ",Králohradecký kraj,CZ052,Broumov,5201,Náchod,CZ0523,Broumov,573922,třída Osvobození,55,č.p.,,55001,www.pivovarbroumov.cz,420 491 523 779,"4,206071072e+11","4,2060264267e+11",,opat@pivovarbroumov.cz,,POINT(50.60377806 16.33454306),16.33454306,50.60377806,PIV15,15,1818353.0158,6551503.6675
Pivovar JungBerg,Hořice / Podkrkonoší,Recepty a produkty / Pivovary,,,"Pivovar nabízí tato piva: 
 PP 12&deg; nefiltrovaný světlý ležák 
 PD 10&deg; světlé nefiltrované svrchně kvašené pivo, s použitím speciálních anglických chmelů 
 Po předchozí dohodě je možné domluvit si prohlídku pivovaru.  
 Pivo je k dostání v sudech (10,20,30 a 50 l) a lahvích. 
 ",Králohradecký kraj,CZ052,Hořice,5204,Jičín,CZ0522,Hořice,572926,Riegerova,619,č.p.,,50801,www.jungberg.eu,,420 739 323 755,,,pivo@jungberg.eu,,POINT(50.36970944 15.63797333),15.63797333,50.36970944,PIV16,16,1740811.2281,6510550.9047
"Pivovar Krakonoš, Trutnov",Trutnov / Krkonoše,Recepty a produkty / Pivovary,,,"Pivovar Krakonoš vyrábí pivo klasickou technologií, nepasterizované, mikrobiálně filtrované. Pro výrobu piva používá vodu z vlastní studny, která je 80 metrů hluboká. 
 V posledních letech byla provedena modernizace vodního hospodářství, chlazení a filtrace piva. Největší akcí byla rekonstrukce ""pivovarské restaurace"" na hotel, která byla dokončena v červenci 2005. Hotel Krakonoš a podniková prodejna jsou součástí areálu pivovaru. V podnikové prodejně je možno zakoupit kompletní sortiment lahvového i sudového piva Krakonoš. 
 ",Králohradecký kraj,CZ052,Trutnov,5214,Trutnov,CZ0525,Trutnov,579025,Křižíkova,486,č.p.,,54101,www.pivovar-krakonos.cz,420 499 840 114,,,420 499 811 265,pivovar@pivovar-krakonos.cz,,POINT(50.56143139 15.90936611),15.90936611,50.56143139,PIV17,17,1771022.5342,6544079.6213
"Pivovar Lindr, Mžany",Mžany / Hradecko,Recepty a produkty / Pivovary,Ubytování a stravování / Stravování,Ubytování a stravování / Penziony,"Pivovar byl otevřen ke konci roku 2015. Nabídka piv: Šípek 10° - světlé výčepní, Lhoťák 10° - světlé výčepní, Dubák 12°  - polotmavý ležák, Mžaňák 12° - světlý ležák. 
 ",Králohradecký kraj,CZ052,Hradec Králové,5205,Hradec Králové,CZ0521,Mžany,570435,,21,č.p.,,50315,www.lindr-pivovar.cz,,"4,2077507081e+11","4,2077507055e+11",,info@lindr-pivovar.cz,,POINT(50.29602667 15.67607583),15.67607583,50.29602667,PIV18,18,1745052.779,6497701.1598
Pivovar Luční bouda,Pec pod Sněžkou / Krkonoše,Recepty a produkty / Pivovary,,,"Ochutnat můžete několik druhů piva Paroháč k jehož vaření se používá voda z pramene Bílého Labe. Luční bouda nabízí možnost absolvovat prohlídku pivovaru spojenou s ochutnávkami. Využít lze i pivní lázně. Pivní lázně zahrnují koupel, léčivý zábal, masáž šíje a jsou současně doplněny nezbytnou pitnou kúrou. 
 ",Králohradecký kraj,CZ052,Trutnov,5214,Trutnov,CZ0525,Pec pod Sněžkou,579581,,203,č.p.,,54221,www.lucnibouda.cz,420 499 736 144,420 733 740 888,,,info@lucnibouda.cz,,POINT(50.73438139 15.69713194),15.69713194,50.73438139,PIV19,19,1747396.7345,6574442.6792
Pivovar Neratov,Bartošovice v Orlických horách / Orlické hory a Podorlicko,Recepty a produkty / Pivovary,,,"Pivovar sousedí s Neratovskou hospůdkou a milovníci piva zde mohou ochutnat nejen 10 ̊, ale i 12 ̊nefiltrovaný ležák Prorok. Ke zvláštním příležitostem zde místní sládek také vaří speciální druhy piv. Stačí se jen na své pouti po krásném koutě Orlických hor zastavit a ochutnat.  
 ",Králohradecký kraj,CZ052,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,CZ0524,Bartošovice v Orlických horách,576093,,,,,51761,www.neratov.cz,,420 736 141 474,,,pivovar@neratov.cz,,POINT(50.21495444 16.55277444),16.55277444,50.21495444,PIV20,20,1842646.4219,6483585.7207
Pivovar Nová Paka,Nová Paka / Český ráj,Recepty a produkty / Pivovary,Zajímavosti a cíle / Technické památky,,"V současné době podnik zaměřuje své aktivity také na oblast cestovního ruchu. Zrekonstruované historické secesní budovy, klasický způsob vaření piva ve spojení s moderními poznatky a technologiemi představují dobrý základ nejen pro výrobu kvalitního tradičního českého piva, ale i rozvoj turismu. K dispozici pro semináře, firemní večírky, či kulturně-společenské akce je historická zasedací síň správní rady pivovaru a také nově vybudovaná pivovarská restaurace pod varnou s kapacitou 80 míst. 
 ",Králohradecký kraj,CZ052,Nová Paka,5210,Jičín,CZ0522,Nová Paka,573248,Pivovarská,400,č.p.,,50901,www.novopackepivo.cz,420 493 721 025,,,,broucek@novopackepivo.cz,,POINT(50.48725472 15.52442139),15.52442139,50.48725472,PIV21,21,1728170.684,6531091.3285
Pivovar Ovipistán,Ledce / Orlické hory a Podorlicko,Recepty a produkty / Pivovary,,,"Pivovar sídlí v budově bývalého obecního hostince se sálem. Pivovar vaří 6 druhů piva od klasického ležáku po tmavá piva či svrchně kvašená piva typu ALE. Heslem pivovaru je ""Dej příroda štěstí"".  
 Koho by zajímala historie státního útvaru Republika Ovipistán, ten se může podívat na humorně laděný web www.ovipistan.cz. 
 Na pivo si můžete do pivovaru zajít každou sobotu mezi 14:00 - 20:00. 
 ",Králohradecký kraj,CZ052,Hradec Králové,5205,Hradec Králové,CZ0521,Ledce,576433,,16,č.p.,,51771,www.pivovarovipistan.cz,,420 773 883 285,,,viktor@ovipistan.cz,,POINT(50.22383670 16.04283420),16.0428342,50.2238367,PIV22,22,1785880.134,6485131.0349
"Pivovar Primátor, Náchod",Náchod / Kladské pomezí,Recepty a produkty / Pivovary,,,"Dle tradičních receptur a důrazem na výběr kvalitních surovin se zde vaří klasické ležáky, speciální piva a v poslední době vyhledávaná piva svrchně kvašená. Primátorský Weizenbier posbíral celou řadu pivních ocenění u nás i ve světě. Sortiment doplňuje pivo se sníženým obsahem cukrů, nealkoholické pivo a řada nealko limonád. Pivovar mimo jiné nabízí prohlídky s výkladem a možností ochutnávky v návštěvnickém centru. 
 ",Králohradecký kraj,CZ052,Náchod,5209,Náchod,CZ0523,Náchod,573868,Dobrošovská,130,č.p.,,54740,www.primator.cz,420 491 407 111,,,,exkurze@primator.cz,,POINT(50.41495000 16.17131639),16.17131639,50.41495,PIV23,23,1800182.706,6518450.422
"Pivovar Tambor, Dvůr Králové nad Labem",Dvůr Králové nad Labem / Podkrkonoší,Recepty a produkty / Pivovary,,,"Pivovar vyrábí tato piva: světlé výčepní 10°, světlý ležák 11°, polotmavý ležák 11°, světlý ležák 12°, tmavý speciál 13° a polotmavý speciál 14°. Pivovar nabízí  zájemcům možnost exkurze. 
 ",Králohradecký kraj,CZ052,Dvůr Králové nad Labem,5203,Trutnov,CZ0525,Dvůr Králové nad Labem,579203,Raisova,699,č.p.,,54401,www.pivo-tambor.cz,420 499 620 103,,,,pivovar@pivo-tambor.cz,info@pivo-tambor.cz,POINT(50.41982000 15.80900556),15.80900556,50.41982,PIV24,24,1759850.4489,6519301.2291
Pivovar Trautenberk,Malá Úpa / Krkonoše,Recepty a produkty / Pivovary,,,"  Vaříme pivo bez pasterizace a filtrování, osvěžující, řízné a hořké tak akorát. V tuto chvíli jsou na čepu piva z naší stálé nabídky, spodně kvašený ležák Trautenberk 11, polotmavý speciál Trautenberk 13 a svrchně kvašený speciál Trautenberk 14 &ndash; APA. 
 Jako vůbec první pivo jsme už na Vánoce 2015 uvařili svrchně kvašený Trautenberk 14 &ndash; Red Ale a na Nový rok první speciál Trautenberk 12 &ndash; APA. Nabídku našich piv budeme postupně obměňovat, abyste měli stále důvod se k nám vracet. 
 Náš pivovar je akciovou společností, s podporou obce na jeho vznik přispěli zdejší boudaři a místní lyžařský areál SKiMU. Ti všichni také nové pivo čepují, a protože je &bdquo;naše&ldquo;, všichni se o něj hezky staráme. 
 Na kvalitu piva Trautenberk dohlížejí hlavní sládci Tomáš Ďuríček a Vojtěch Kaprálek. S prvními kroky Trautenberka pomáhali sládci z minipivovaru Hostivar, Jan Tržil a František Poláček, držitelé ocenění Minipivovar roku 2013. Kromě čepovaného prodáváme i pivo v unikátních PET litrovkách a v dárkovém balení se čtyřmi třetinkovými lahvemi, které jsou nejen díky skvělému obsahu jedinečným suvenýrem! 
    
 ",Králohradecký kraj,CZ052,Trutnov,5214,Trutnov,CZ0525,Malá Úpa,579505,Horní Malá Úpa,87,č.p.,,54227,www.pivovartrautenberk.cz,,"4,2073374644e+11","4,207301584e+11",,info@pivovartrautenberk.cz,,POINT(50.74551972 15.82201694),15.82201694,50.74551972,PIV25,25,1761298.8691,6576401.9596
"Pivovarské domy, Hradec Králové",Hradec Králové / Hradecko,Recepty a produkty / Pivovary,Ubytování a stravování / Stravování,," Trvale jsou v nabídce piva Hradecký Klenot světlý ležák (12&deg;EPM), polotmavý ležák a nefiltrovaný světlý ležák, doplněné o sezónní speciály. 
 Interiér restaurace navrhl architekt Maxmilián Vlček, který před časem ztvárnil i interiér předchůdce současné restaurace, legendární Kavárnu U Knihomola. 
 Královéhradecký měšťanský pivovar navazuje na dlouhou tradici pivovarnictví v Hradci Králové. Kromě toho, že se pivo ve zmíněných domech již od středověku vařilo, právovárečný dům č.p. 25 získal také v roce 1714 status hospody, které se říkalo Modrá hvězda. V té době teprve druhá hospoda na území Hradce Králové vydržela fungovat bez přerušení až do první poloviny dvacátého století. 
 ",Králohradecký kraj,CZ052,Hradec Králové,5205,Hradec Králové,CZ0521,Hradec Králové,569810,Velké náměstí,26,č.p.,,50003,www.pivovarskedomy.cz,,"4,207342454e+11","4,207342454e+11",,restaurace@pivovarskedomy.cz,pivovar@hradeckyklenot.cz,POINT(50.20944583 15.83479111),15.83479111,50.20944583,PIV26,26,1762720.8832,6482627.4905
Rodinný pivovar 713,Hradec Králové / Hradecko,Recepty a produkty / Pivovary,,,"Zájemci si mohou v pivovaru pivo zakoupit. Otevírací dobu naleznete na webových stránkách pivovaru www.hradeckepivo.cz a na facebooku.   
  
 
",Králohradecký kraj,CZ052,Hradec Králové,5205,Hradec Králové,CZ0521,Hradec Králové,569810,Albertova,713,č.p.,,50002,www.hradeckepivo.cz,,"4,2060358879e+11","4,2060344323e+11",,area-hk@email.cz,,POINT(50.20906667 15.81439917),15.81439917,50.20906667,PIV27,27,1760450.8628,6482561.5391
Rodinný pivovar Dobruška,Dobruška / Orlické hory a Podorlicko,Zajímavosti a cíle / Technické památky,Recepty a produkty / Pivovary,,"V dnešní době jsou v pivovaru pořádány exkurze, restaurace je otevřena na různé společenské, gastronomické akce, je zde možné se ubytovat ve 4 vybavených pokojích. 
 V areálu je i Bowling bar, a pivovarská prodejna, ve které můžete zakoupit 12&deg; kvasnicový ležák Rampušák, Dobrušskou 11&deg;,  v nefiltrované i filtrované podobě. Dále Muderlanta 13&deg; v nefiltrované a F. L. Věka 15&deg; jako vánoční či velikonoční speciál. 
 ",Králohradecký kraj,CZ052,Dobruška,5202,Rychnov nad Kněžnou,CZ0524,Dobruška,576271,Křovická,267,č.p.,,51801,www.pivovar-dobruska.cz,420 494 322 310,420 603 290 457,,,pivovar@dobruska.info,,POINT(50.29475278 16.16251389),16.16251389,50.29475278,PIV28,28,1799202.8162,6497479.1777
"Rodinný pivovar Hendrych, Vrchlabí",Vrchlabí / Krkonoše,Recepty a produkty / Pivovary,,,"Objednat se můžete i na prohlídku pivovaru. 
 Pivovar vaří piva: H10, H11 &ndash; hořký ležák, H13 &ndash; polotmavý pivní speciál, H16 ALE &ndash; svrchně kvašený speciál a příležitostně také další speciální piva. 
   Pivní bar a penzion uzavřeny  hledáme provozovatele. Pivo s sebou lze zakoupit na prodejně pivovaru.   
 ",Králohradecký kraj,CZ052,Vrchlabí,5215,Trutnov,CZ0525,Vrchlabí,579858,Horská,192,č.p.,,54302,www.pivohendrych.cz,,420 702 079 400,,,info@pivohendrych.cz,prodejna@pivohendrych.cz,POINT(50.65490222 15.60327361),15.60327361,50.65490222,PIV29,29,1736948.473,6560475.4548
Rodinný pivovar Propper,Praskačka / Hradecko,Recepty a produkty / Regionální potraviny,Recepty a produkty / Pivovary,," 
 Piva můžete zakoupit po domluvě v pivovaru či v pivotéce Pivoňka v Hradci Králové. 
 ",Králohradecký kraj,CZ052,Hradec Králové,5205,Hradec Králové,CZ0521,Praskačka,570656,Praskačka,71,č.p.,,50333,www.pivovarpropper.cz,420 604 212 391,,,,pivovarpropper@seznam.cz,,POINT(50.17632667 15.74156639),15.74156639,50.17632667,PIV30,30,1752343.1548,6476868.698
