Název,Region,Primární zatřídění,Sekundární zatřídění,Terciální zatřídění,Popis,Název vyššího územního samosprávného celku,Kód vyššího územního samosprávného celku dle číselníku ČSÚ,Název okresu,Kód okresu dle číselníku ČSÚ,Název správního obvodu obce s rozšířenou působností,Kód správního obvodu obce s rozšířenou působností dle číselníku ČSÚ,Název obce,Kód obce dle číselníku ČSÚ,Název ulice,Číslo popisné nebo evidenční podle typu čísla domovního,Typ čísla domovního,Číslo orientační,PSČ,Webové stránky,Telefon č. 1,Telefon č. 2,Mobil č. 1,Mobil č. 2,Mobil č. 3,Fax,Email č. 1,Email č. 2,Email č. 3,Zápis vektorové geometrie,Zeměpisná délka v souřadnicovém systému WGS84,Zeměpisná šířka v souřadnicovém systému WGS84,Jedinečný identifikátor v katalogu otevřených dat Data KHK,ID,x2,y2
Elektro Bike & Buggy Centrum,Špindlerův Mlýn / Krkonoše,Sport a relaxace / Ostatní letní sporty,,,"Dětská šlapací buginaNechte děti závodit ve šlapacích buginách na vytyčené závodní dráze.Do jedné buginy se vejde vždy jedno dítě.Půjčovnu najdete u dolní stanice lanovky Medvědín.E-GranTourProjeďte se po Špindlu ve čtyřkolových vozidlech E-GranTour s elektrickým pohonem.V těchto sedadlových strojích se pohybujete jak za pomoci šlapání, tak i elektro podpory.Půjčovnu najdete u dolní stanice lanovky Medvědín.K řízení vozidla nepotřebujete řidičský průkaz.Vozidlo E-GranTour je ideální pro přepravu dvou dospělých a dvou dětí.Ekologický způsob přepravy po Špindlerově Mlýně a jeho okolí s minimální námahou. Poslední vypůjčení je možné hodinu před koncem provozu.",Královehradecký kraj,CZ052,Trutnov,CZ0525,Vrchlabí,5215,Špindlerův Mlýn,579742,Bedřichov,88,č.p.,,54351,www.skiareal.cz/objevujte-a-bavte-se-1/elektro-bike-a-buggy-centrum,420 499 467 101,,420 601 087 639,420724388215,,,,,,POINT(50.73389333 15.60660250),15.6066025,50.73389333,OLS14,14,1737319.0433,6574356.838
ENERGY FLOW studio Vrchlabí,Vrchlabí / Krkonoše,Sport a relaxace / Ostatní letní sporty,,,"Kdy se cvičí? 
 Skupinové lekce jsou pořádány několikrát v týdnu. 
 Motto: 
 Načerpejte novou energii v našem studiu. U nás cvičíme pro radost. 
   
 ",Královehradecký kraj,CZ052,Trutnov,CZ0525,Vrchlabí,5215,Vrchlabí,579858,Krkonošská,153,č.p.,,54301,natura.isportsystem.cz,,,420 604 101 703,,,,wellness@gendorf.cz,,,POINT(50.62588444 15.61249861),15.61249861,50.62588444,OLS15,15,1737975.3953,6555381.9226
Fit club Jičín,Jičín / Český ráj,Sport a relaxace / Ostatní letní sporty,,,,Královehradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Jičín,572659,Lidické Náměstí,11,č.p.,,50601,www.fitclubjicin.cz,,,420 737 948 738,,,,petr.kordik@centrum.cz,,,POINT(50.43087500 15.34798611),15.34798611,50.430875,OLS16,16,1708529.9985,6521232.9034
Fit4Fun Flošna,Hradec Králové / Hradecko,Sport a relaxace / Ostatní letní sporty,,,"Dozvíte se, jak s cvičením začít a hlavně vydržet! Po cvičení ve fitness máte rovněž 20% slevu na vstup do Wellness studia Flošna. 
 ",Královehradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Malšovická,779,č.p.,,50009,www.fit4funflosna.cz,420 495 582 498,,,,,,info@fit4funflosna.cz,,,POINT(50.20520861 15.84226278),15.84226278,50.20520861,OLS17,17,1763552.6257,6481890.4956
Fitness - Sportovní areál Jičín,Jičín / Český ráj,Sport a relaxace / Ostatní letní sporty,,,"Posilovna:- posilovací stroje- velký výběr činek- zrcadlová stěna- solárium- bar pro občerstvení- prodej doplňků sportovní výživy 
 ",Královehradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Jičín,572659,Revoluční,863,č.p.,,50601,www.fitnessjicin.cz,,,420 773 277 933,,,,martinjiric@seznam.cz,,,POINT(50.44066694 15.36333028),15.36333028,50.44066694,OLS18,18,1710238.1037,6522944.256
"Fitness centrum KB, Jičín",Jičín / Český ráj,Sport a relaxace / Ostatní letní sporty,,,"Prostorné fitness v příjemném klimatizovaném prostředí, kompletně vybavené posilovacími stroji od firmy Classic Gym. K dispozici je Vám kvalitní cardio zóna s přístroji značky Kettler. Připravena jsou pro Vás čtyři moderní solária značky Luxura s širokým sortimentem solární kosmetiky.  
 Prodej sportovní výživy, doplňků stravy vhodné pro posilování, fitness, wellness, aerobic i hubnutí a také nejrůznější produkty pro rychlou regeneraci Vašeho organismu. Kromě doplňků stravy se zde prodává také sportovní oblečení značek UNCLE SAM, NO LIMTS, LEGAL POWER. 
 ",Královehradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Jičín,572659,17. listopadu,1074,č.p.,,50601,www.fitnesskb.webnode.cz,,,420 605 529 934,420605901248,420733315099,,jar.hlava@email.cz,,,POINT(50.43411583 15.35398250),15.3539825,50.43411583,OLS19,19,1709197.5135,6521799.2691
Fitness v Centru Walzel,Meziměstí / Broumovsko,Sport a relaxace / Ostatní letní sporty,,,"Pokud máte den naplněný do poslední minuty, na aerobní a posilovací trénink vám zřejmě často moc času nezbývá. Nebo nevíte jak na kterých strojích cvičit a proto do fitness nechodíte?  Řešením je kruhový trénink, který v sobě kloubí výhody aerobního cvičení s posilováním svalů. A to všechno navíc zvládnete během jedné hodiny za dohledu a rad trenéra. Jeden cvik za druhým cvičíte v poměrně rychlém tempu, zrychluje se tepová frekvence a to má pozitivní vliv na kardiovaskulární zdraví i na Vaši vytrvalost. Navíc každý cvik vyžaduje vynaložení poměrně velké síly. Tím je zaručena velká účinnost. 
 Kruhový trénink je zaměřen na posílení všech svalových skupin, trénink je totiž rozdělen na 10 stanovišť, kde na každém stanovišti procvičujete jinou svalovou partii. Před tréninkem se lehce protáhnete pro zahřátí svalů a na konci hodiny je klasický strečink. Zvukový signál Vás upozorní na změnu stanoviště. Po celou dobu tréninku je Vám k dispozici trenér, který na začátku ukáže, jak jednotlivé cviky dělat. 
 Kapacita je omezená na 10 osob. rezervace míst emailem fitness@walzel.cz nebo na tel.: 724 351 801 
 ",Královehradecký kraj,CZ052,Náchod,CZ0523,Broumov,5201,Meziměstí,574252,Dlouhá,138,č.p.,,54981,www.walzel.cz/posilovna,,,420 702 209 974,420724351801,,,"info@walzel.cz
fitness@walzel.cz",,,POINT(50.62525333 16.23894361),16.23894361,50.62525333,OLS20,20,1807710.9337,6555271.1779
Fotbalgolf,Rokytnice v Orlických horách / Orlické hory a Podorlicko,Sport a relaxace / Ostatní letní sporty,Sport a relaxace / Ostatní letní sporty,,"V blízkosti Fotbal parku se nachází Penzion ORLICKO, který poskytuje zázemí nejen pro nově vzniklý fotbalgolf, ale i pro 9 jamkové golfové hřiště, které je taktéž v blízkosti penzionu.",Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rokytnice v Orlických horách,576701,Nebeská Rybná ,3,č.p.,,51761,,,,,,,,,,,POINT(50.1914306 16.4202933),16.4202933,50.1914306,OLS21,21,1827898.6888,6479494.4889
Fotbalový a atletický stadion – areál Vejsplachy,Vrchlabí / Krkonoše,Sport a relaxace / Ostatní letní sporty,,," 				Areál má ve správě fotbalový klub FC Vrchlabí, má zde i své zázemí. Původní stadion Na Bělidle, který v 50. letech vznikl jako dočasné řešení, získala automobilka Škoda Auto pro rozšíření svého závodu na výrobu automatických převodovek.  		 
  		 				Stavba zahrnuje:  				Hlavní travnaté fotbalové hřiště, tréninkové fotbalové hřiště s umělým trávníkem páté generace, menší tréninkovou travnatou plochu, atletický ovál s umělým povrchem, tribunu včetně zázemí pro sportovce (osm šaten), obslužný objekt a ostatní doprovodné stavby; dopravní infrastrukturu tvoří přístupové chodníky, parkoviště, lávka pro pěší, úprava okružní křižovatky, inženýrské sítě &ndash; vodovod, kanalizace, elektro a ostatní areálová technická infrastruktura. 		 
 Video prezentaci areálu naleznete na odkazu ZDE 
 ",Královehradecký kraj,CZ052,Trutnov,CZ0525,Vrchlabí,5215,Vrchlabí,579858,Valteřická,1655,č.p.,,54301,www.fcvrchlabi.cz,,,420 775 862 308,,,,stadion@fcvrchlabi.cz,,,POINT(50.61899861 15.59561111),15.59561111,50.61899861,OLS22,22,1736095.4874,6554173.7046
Fotbalový a atletický stadion Trutnov,Trutnov / Krkonoše,Sport a relaxace / Ostatní letní sporty,,,"Občerstvení pro diváky je zajištěno ve stylové fotbalové restauraci a dvou bufetech přímo na tribuně. 
 
Dále se v areálu nachází moderně zařízená rehabilitační místnost, krytý 80 m atletický tunel a sklady a skládky pro potřeby oddílů. 
 ",Královehradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Trutnov,579025,Na Lukách,,,,54101,www.sportoviste-trutnov.cz,,,420 736 641 434,420603355445,,,horak@mebys.cz,spravci.mfk@seznam.cz,,POINT(50.56282000 15.91438000),15.91438,50.56282,OLS23,23,1771580.6779,6544322.961
Gapa centrum Rychnov nad Kněžnou,Rychnov nad Kněžnou / Orlické hory a Podorlicko,Sport a relaxace / Ostatní letní sporty,,,"Víceúčelové sportoviště nabízí prostory pro bowling, squash a ricochet. Občerstvit se můžete v místním baru. 
 ",Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,Mírová,1474,č.p.,,51601,www.gapacentrum.cz,420 494 661 367,,,,,,panel@gapasro.cz,,,POINT(50.16229306 16.28429806),16.28429806,50.16229306,OLS24,24,1812759.768,6474429.7241
HAPPY LIFE PILATES,Hradec Králové / Hradecko,Sport a relaxace / Ostatní letní sporty,,,"PILATES 
 je ucelený pohybový program VHODNÝ PRO KAŽDÉHO  
  bez rozdílu věku, váhy, fyzické kondice či pohlaví. Speciální metoda stará více než 100 let, pojmenovaná po svém objeviteli kterým byl Joseph PILATES 
   
  PILATES- nevyčerpává, naopak DODÁVÁ ENERGII, vaše tělo nejen LÉČÍ, ale z gruntu MĚNÍ! 
  &middot; rozvíjí koordinaci, sílu, rovnováhu, flexibilitu a dýchání, aktivuje stabilizační systém těla, posiluje hluboké svalstvo 
  &middot; Posiluje celý svalový řetězec jako základ správného držení těla, regeneruje svaly, kosti i klouby.  
  &middot; nenásilnou formou odstraňuje špatné pohybové návyky a důsledky jednostranného zatěžování a přetěžování pohybového aparátu (způsobené dlouhodobým sezením, stáním, jednostrannou činností) 
  PILATES  -  odstraňuje  nebo zmírňuje bolesti zad, především krční a bederní oblasti, zlepšuje hybnost a celkový stav páteře 
  PILATES &ndash;  řeší problematiku pánevního dna (stresové inkontinence, bolestivé menstruace, problémy s početím a jiné) 
  PILATES &ndash; je přínosem pro astmatiky, uvolňuje stresové napětí, zkvalitňuje dýchání, kardiovaskulární a oběhový systém, zlepšuje funkci lymfatického systému 
  PILATES &ndash; napomáhá lidem po zvláštních událostech (po operaci kyčlí, kolen, po porodu i po onkologické léčbě či prožitém životním traumatu) vrátit se k běžnému životu a zregenerovat tělo i ducha  
 ",Královehradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Velké náměstí,148,č.p.,,50003,http://happylifepilates.cz,,,420 702 010 039,,,,info@happylifepilates.cz,,,POINT(50.20970389 15.83300389),15.83300389,50.20970389,OLS25,25,1762521.9308,6482672.3779
Horský penzion Bowling Horní Malá Úpa,Malá Úpa / Krkonoše,Ubytování a stravování / Penziony,Sport a relaxace / Ostatní letní sporty,Bez bariér / Služby,Na každé dráze mohou hrát max. 4 hráči.11:00–14:00 : 280 Kč / 1 dráha14:00–18:00 : 330 Kč / 1 dráha18:00–23:00 : 380 Kč / 1 dráhaUbytovaní mají slevu 10% na bowlingové dráhy.,Královehradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Malá Úpa,579505,Horní Malá Úpa,132,č.p.,,54227,,,,420 602 354 583,,,,info@bowlingmalaupa.cz,,,POINT(50.74534389 15.82430111),15.82430111,50.74534389,OLS26,26,1761553.1417,6576371.0267
"Letní areál Na hřišti, Houdkovice",Dobruška / Orlické hory a Podorlicko,Sport a relaxace / Ostatní letní sporty,,,"Pokud budete přijíždět směrem od obce Trnov, uvidíte jej ještě před příjezdem do obce po pravé straně. Na první křižovatce, kterou budete mít po pravé straně odbočíte doprava a přijedete přímo k areálu. Pokud budete přijíždět směrem od obce Byzhradec nebo Voděrady musíte projet po hlavní silnici celou obcí. Na poslední křižovatce, kterou budete mít po levé straně, odbočíte doleva a přijedete přímo k areálu.  
 V nově zrekonstruovaném areálu v Houdkovicích jsou v roce 2017 pořádány tyto akce: 
 30.4. Čarodějnice 
 6.5. Dětská soutěž Plamen 
 8.5. Podorlická liga - závody v požárním útoku 
 3.6. Taneční zábava - 4 WATTY 
 1.7. Fotbalový turnaj 
 2.7. Pouťové odpoledne s hudbou k poslechu od 15:00, předtím zápas svobodní:ženatí 
 5. 7. Výstava závodních speciálů, večer taneční zábava se skupinou Rocksorry 
 15.7. Diskotéka, DJ Pacoš 
 25.8. Taneční zábava se skupinou Rocksorry 
 2.9. Dětský den 
 Zábavy začínají pravidelně v 20:00 hodin, soutěže dětí v 8:00, dospělých od 10:00 a dětský den v 15:00.  
  
 ",Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Dobruška,5202,Trnov,576824,Houdkovice,105,č.p.,,51801,http://www.sdhhoudkovice.estranky.cz/clanky/letni-areal-na-hristi.html,,,420 736 143 194,,,,jirka.rizek@centrum.cz,,,POINT(50.22823278 16.16816167),16.16816167,50.22823278,OLS27,27,1799831.5242,6485895.9608
LLAMARO Doudleby nad Orlicí,Doudleby nad Orlicí / Orlické hory a Podorlicko,Sport a relaxace / Ostatní letní sporty,,,"Nabídka: fitbox, jumping, kickbox, kruhový trénink, martial arts, zumba",Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Kostelec nad Orlicí ,5208,Doudleby nad Orlicí,576301,Komenského,325,č.p.,,51742,www.llamaro.com,,,420 731 328 250,,,,info@llamaro.com,,,POINT(50.10691389 16.25814389),16.25814389,50.10691389,OLS28,28,1809848.2991,6464812.0723
