Název,IČO,Popis,Typ zařízení,Zřizovatel,Kapacita,Bezbariérovost,Typ bezbariérovosti,Název vyššího územního samosprávného celku,Kód vyššího územního samosprávného celku dle číselníku ČSÚ,Název okresu,Kód okresu dle číselníku ČSÚ,Název správního obvodu obce s rozšířenou působností,Kód správního obvodu obce s rozšířenou působností dle číselníku ČSÚ,Název obce,Kód obce dle číselníku ČSÚ,Název ulice,Číslo popisné nebo evidenční podle typu čísla domovního,Typ čísla domovního,Číslo orientační,PSČ,Webové stránky,Telefon,Email,Zápis vektorové geometrie,Zeměpisná délka v souřadnicovém systému WGS84,Zeměpisná šířka v souřadnicovém systému WGS84,Jedinečný identifikátor v katalogu otevřených dat Data KHK,ID,x2,y2
Jiráskovo divadlo Hronov,00272680,"Konstruktivistická stavba Jiráskova divadla s prvky neoklasicismu, postavená roku 1930, patří k významným stavbám moderní architektury meziválečného Československa. Návrh je dílem architekta Jindřicha Freiwalda z roku 1930. Od roku 1964 je kulturní památkou. Budova je víceúčelovým prostorem, významným také jako centrum mezinárodních přehlídek amatérského divadla Jiráskův Hronov, které se tu konají již od roku 1931. ",divadlo,město Hronov,600,ANO,,Královehradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Hronov,574082,nám. Čs. armády,500,č.p.,,54931,https://www.mestohronov.cz/vitejte-u-nas/clanek/jiraskovo-divadlo; http://www.kulturahronov.cz/page/10327/divadla,+420737608373,mestohronov@mestohronov.cz,POINT(50.4802361 16.1830956),16.1830956,50.4802361,DIVFILH11,11,1801493.96165087,6529863.42846701
Jiráskovo divadlo Nový Bydžov,00269247,"Jiráskovo divadlo se nachází na náměstí Aloise Jiráska. Budova z roku 1887 je chráněna jako kulturní památka ČR. Původně neorenesanční hostinec od stavitele A. Turka z roku 1887 byl na divadlo přestaven v roce 1924 stavitelem Oldřichem Liskou. V budově působí Jiráskovo divadlo, které patří mezi nejstarší divadelní scény ve Východočeském kraji. ",multifunkční prostor,Město Nový Bydžov,265,ANO,tělesně postižené,Královehradecký kraj,CZ052,Hradec Králové,CZ0521,Nový Bydžov,5212,Nový Bydžov,570508,A. Jiráska,562,č.p.,,50401,http://www.jiraskovodivadlo.cz,+420773054890,info@jiraskovodivadlo.cz,POINT(50.239 15.4924),15.4924,50.239,DIVFILH12,12,1724606.07916572,6487769.77443539
Kino Vlast,00277967,"Kino Vlast se nachází na náměstí Svobody v původní normalizační budově městského úřadu, která přiléhá k secesní zástavbě kolonády. V roce 2020 prošlo kino digitalizací a modernizací. Sál kina je multifunkční.",multifunkční prostor,Město Janské Lázně,228,ANO,tělesně postižené,Královehradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Janské Lázně,579351,náměstí Svobody,273,č.p.,,54225,http://www.janske-lazne.cz/cs/obcan-navstevnik/kultura/kino,+420499875121,kino@janske-lazne.cz,POINT(50.6303383 15.7804003),15.7804003,50.6303383,DIVFILH13,13,1756666.12591003,6556163.51072826
Klicperovo divadlo,27504689,"Novorenesanční budova divadla byla postavená podle návrhu architekta Viktora Weinhegsta, nad terasami do Žižkových sadů v roce 1885. Budova je od roku 1958 zapsána v seznamu kulturních památek České republiky. Klicperovo divadlo v Hradci Králové působí celkem na čtyřech scénách. ",divadlo,"Město Hradec Králové, Královéhradecký kraj",400,ANO,"tělesně postižené, zrakově postižené, sluchově postižené",Královehradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Dlouhá ,99,č.p.,9,50003,http://www.klicperovodivadlo.cz,+420495514590,mikulkova@klicperovodivadlo.cz,POINT(50.2110075 15.8338883),15.8338883,50.2110075,DIVFILH14,14,1762620.38283358,6482899.1338552
"Klicperovo divadlo, Hradec Králové, Komorní scéna v podkroví",27504689,"Komorní scéna V podkroví se nachází ve 2. patře provozní budovy divadla, jejíž vchod se nachází na divadelním náměstí vpravo od hlavní budovy. ",divadlo,"Město Hradec Králové, Královéhradecký kraj",50,ANO,tělesně postižené,Královehradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Dlouhá ,99,č.p.,9,50003,http://www.klicperovodivadlo.cz,+420495514590,mikulkova@klicperovodivadlo.cz,POINT(50.2108767 15.8341544),15.8341544,50.2108767,DIVFILH15,15,1762650.00495008,6482876.38161764
"Klicperovo divadlo, Hradec Králové, Letní scéna",27504689,Letní scéna se nachází u hlavní budovy Klicperova divadla v Dlouhé ulici vedle sochy Evy od Olbrama Zoubka. Je využívána především v době konání mezinárodního festivalu Regiony a dále pro menší představení a tradiční večerní koncerty.,divadlo,"Město Hradec Králové, Královéhradecký kraj",300,ANO,tělesně postižené,Královehradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Dlouhá ,99,č.p.,9,50003,http://www.klicperovodivadlo.cz,+420495514590,mikulkova@klicperovodivadlo.cz,POINT(50.2108681 15.8336086),15.8336086,50.2108681,DIVFILH16,16,1762589.246772,6482874.8856776
"Klicperovo divadlo, Hradec Králové, Studio Beseda",27504689,Klicperovo divadlo v Hradci Králové působí celkem na čtyřech scénách. Studio Beseda se nachází pod Malým náměstím.,divadlo,"Město Hradec Králové, Královéhradecký kraj",130,ANO,"tělesně postižené, zrakově postižené, sluchově postižené",Královehradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Mýtská,1,č.p.,,50003,http://www.klicperovodivadlo.cz,+420495514590,predprodej@klicperovodivadlo.cz,POINT(50.2103447 15.8371636),15.8371636,50.2103447,DIVFILH17,17,1762984.98756177,6482783.84257849
Klicperův dům,00268861,"Budova Klicperova domu byla postavena v roce 1931. Klicperův dům slouží jako divadlo a kino a přináší divadelní, filmové a koncertní představení. ",multifunkční prostor,Město Chlumec nad Cidlinou,229,ANO,tělesně postižené,Královehradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Chlumec nad Cidlinou,570109,Riegrova ,236,č.p.,,50351,http://www.chlumecnc.cz/klicperuv-dum/ds-1001/p1=6537,+420602717410,klicperuvdum@chlumecnc.cz,POINT(50.1589711 15.4574378),15.4574378,50.1589711,DIVFILH18,18,1720714.1048647,6473852.4882245
Kolárovo divadlo,00272949,"Kolárovo divadlo v Polici nad Metují bylo postavené v roce 1940 podle návrhu choceňského architekta Čeňka Mužíka ve funkcionalistickém stylu. Pojmenováno bylo podle Josefa Jiřího Kolára, herce a režiséra Národního divadla. Budova slouží jako divadlo a kino.",multifunkční prostor,Město Police nad Metují,320,ANO,"tělesně postižené, sluchově postižené",Královehradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Police nad Metují,574341,Jiráskova ,151,č.p.,,54954,http://www.policko.cz/cs/divadlo.php,+420728267377,"
infocentrum@policko.cz",POINT(50.5372 16.2374),16.2374,50.5372,DIVFILH19,19,1807539.0998067,6539834.47280907
Labyrint Divadla Drak,"
27504671","V roce 2010 se Divadlo Drak rozrostlo o budovu Labyrintu disponující studiovou scénou, interaktivní laboratoří i výstavními prostory. Budova je sídlem Mezinárodního institutu figurálního divadla, které je vzdělávacím a výzkumným divadelním centrem.",divadlo,"Město Hradec Králové, Královéhradecký kraj",80,ANO,tělesně postižené,Královehradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Hradební ,632,č.p.,1,50003,http://labyrint.draktheatre.cz,+420734655157,"
info@draktheatre.cz",POINT(50.2076822 15.8385267),15.8385267,50.2076822,DIVFILH20,20,1763136.72715967,6482320.72801981
Loutková scéna Dětem pro radost,68246480,Prostory loutkového divadla vznikly v roce 2000 přístavbou Sokolovny Náchod. V prostorách působí Loutkové divadlo Dětem pro radost. ,divadlo,Město Náchod,80,ANO,tělesně postižené,Královehradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Náchod,573868,Tyršova ,207,č.p.,,54701,http://lsdpr.cz/,+420777209535,detemproradost@seznam.cz,POINT(50.4152 16.1597),16.1597,50.4152,DIVFILH21,21,1798889.57537207,6518494.09576248
Loutkové divadlo Smiřice,05334993,Loutkové divadlo bylo založené v roce 1926.,divadlo,Město Smiřice,150,NE,,Královehradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Smiřice,570877,Palackého ,205,č.p.,,50303,http://loutkysmirice.webnode.cz/,,ld.smirice@centrum.cz,POINT(50.3001 15.8674),15.8674,50.3001,DIVFILH22,22,1766350.8882132,6498410.99918872
Loutkové divadlo Srdíčko,13584430,"Loutkové divadlo Srdíčko sídlí v Masarykově divadle v Jičíně, kde si jeho členové vlastními silami vybudovali divadelní sál a zázemí. Organizačně spadá pod Kulturní zařízení města Jičína.",divadlo,Město Jičín,70,NE,,Královehradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Jičín,572659,Husova ,206,č.p.,,50601,http://srdicko.stranky1.cz,+420776744141,srdicko.jicin@seznam.cz,POINT(50.4357183 15.3580053),15.3580053,50.4357183,DIVFILH23,23,1709645.3295964,6522079.33025469
Masarykovo divadlo,13584430,Budova Masarykova divadla v Jičíně byla postavena jako sokolovna s tělocvičnou a divadelním sálem v roce 1884 podle návrhu architekta Jana Vejrycha a v roce 1926 přestavěna dle návrhu architekta Čeňka Musila. ,divadlo,Město Jičín,580,ANO,tělesně postižené,Královehradecký kraj,CZ052,Jičín,CZ0522,Jičín,5207,Jičín,572659,Husova ,206,č.p.,,50601,http://www.kzmj.cz/divadlo,+420493531568,posta@kzmj.cz,POINT(50.4357183 15.3580053),15.3580053,50.4357183,DIVFILH24,24,1709645.3295964,6522079.33025469
Městská hudební síň,27472809,Městská hudební síň se nachází v prostředí restaurované kaple sv. Jana Nepomuckého s mistrovským nástrojem krnovských varhanářů.,filharmonie + hudba,Hradecká kulturní a vzdělávací společnost,200,NE,,Královehradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Zieglerova,91,č.p.,3,50003,http://https://www.adalbertinum.cz/cs/provozovny/mestska-hudebni-sin.html?view=provozovny,+420495513003,milan.pavlis@adalbertinum.cz,POINT(50.2107844 15.8321947),15.8321947,50.2107844,DIVFILH25,25,1762431.85214397,6482860.32636827
Městské divadlo Broumov,"
00272523",Městské divadlo se nachází na severní straně náměstí v domě č. p. 54. O jeho založení se v roce 1805 zasloužil  MUDr. Franz Kneisler.,divadlo,Město Broumov,195,NE,,Královehradecký kraj,CZ052,Náchod,CZ0523,Broumov,5201,Broumov,573922,Mírové náměstí ,54,č.p.,,55001,https://broumov-mesto.cz/divadlo/gs-1007/p1=2502,+420491524168,kultura@broumov.net,POINT(50.5858447 16.3318422),16.3318422,50.5858447,DIVFILH26,26,1818052.3574201,6548358.8486825
Městské divadlo Dr. Josefa Čížka,64829472,Budova městského divadla Dr. Josefa Čížka v Náchodě byla navržena architektem A. Čenským. Slavnostní otevření proběhlo v roce 1914. Budova je kulturní památkou.,divadlo,BERÁNEK Náchod a.s.,500,ANO,tělesně postižené,Královehradecký kraj,CZ052,Náchod,CZ0523,Náchod,5209,Náchod,573868,Masarykovo náměstí,74,č.p.,,54701,http://www.beraneknachod.cz,+420603955512,propagace@beraneknachod.cz,POINT(50.4172 16.1621),16.1621,50.4172,DIVFILH27,27,1799156.74214997,6518843.49445664
Městské divadlo Jaroměř,13585185,Divadlo bylo postaveno v letech 1901 - 1903 podle projektu architekta J. Podhájského jako víceúčelový Sokolský dům pro tělocvičné a kulturní aktivity jaroměřské veřejnosti.,divadlo,Město Jaroměř,399,ANO,tělesně postižené,Královehradecký kraj,CZ052,Náchod,CZ0523,Jaroměř,5206,Jaroměř,574121,Nám. Dukelských hrdinů,240,č.p.,,55101,http://www.divadlojaromer.cz,+420491812806,mks@divadlojaromer.cz,POINT(50.3527486 15.9184078),15.9184078,50.3527486,DIVFILH28,28,1772029.05053568,6507591.28997255
Pelclovo divadlo,27475689,"Pelclovo divadlo bylo postaveno v roce 1896 podle plánů stavitele Josefa Štaubery. Na jeho výzdobě se podílela řada výtvarných umělců, např. Roman Skála či R. Holzra. ",divadlo,Město Rychnov nad Kněžnou,340,ANO,tělesně postižené,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Rychnov nad Kněžnou,5213,Rychnov nad Kněžnou,576069,Panská ,79,č.p.,,51601,http://www.kulturark.cz/divadlo/,+420494535329,divadlo@kulturark.cz,POINT(50.1645 16.2757),16.2757,50.1645,DIVFILH29,29,1811802.63630409,6474813.23217543
PETROF Gallery,62028634,"PETROF Gallery vznikla rekonstrukcí staré výrobní haly. Od roku 2017 zde sídlí kulturní centrum, ve kterém se nachází pianosalon, kavárna a koncertní sál. Projekt PETROF Gallery získal titul Stavba roku Královéhradeckého kraje 2018. Kapacita showroomu je 50 až 80 míst, kavárny 60-80, kongresový sál až 500 míst a jednací místnost 18 - 30 míst.",multifunkční prostor,"PETROF, spol. s r.o.",500,ANO,tělesně postižené,Královehradecký kraj,CZ052,Hradec Králové,CZ0521,Hradec Králové,5205,Hradec Králové,569810,Na Brně,2136,č.p.,4,50006,http://www.petrofgallery.cz,+420495712193,info@petrofgallery.cz,POINT(50.1922539 15.8519167),15.8519167,50.1922539,DIVFILH30,30,1764627.2951414,6479637.64202402
Přírodní divadlo Val,26591375,"Přírodní divadlo Val leží v turisticky zajímavé části obce Val, ve Valském údolí. Konají se zde divadelní představení, koncerty, festivaly a další kulturní akce.",přírodní divadlo,Obec Val,500,ANO,tělesně postižené,Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Dobruška,5202,Dobruška,576271,Val,,,,51801,http://www.mbox.val.cz/spolky-1/beseda-val-z-s,+420494623440,ou.val@val.cz,POINT(50.3063819 16.185655),16.185655,50.3063819,DIVFILH31,31,1801778.87275561,6499505.83449688
Sdružený klub Rabštejn,46459731,"Současná budova je bývalým hotelem, který byl přestavěn na kulturní dům. Nachází se v centru města na Palackého náměstí a slouží jako multifunkční prostor. V roce 2021 byla na novou podobu budovy dokončena architektonická soutěž a byl vybrán její nový návrh. Po rekonstrukci by měl hlavní sál disponovat 300 místy k sezení, dále by zde měl být malý sál, kavárna a prostory ve foyer připraveny pro výstavy.",multifunkční prostor,SDRUŽENÝ KLUB RABŠTEJN,300,NE,"lze po předchozí domluvě zajistit bezbariérový přístup, chybí bezbariérové WC. Po plánované rekonstrukci by měla být jak plošina pro bezbariérový přístup, tak i bezbariérové WC.",Královehradecký kraj,CZ052,Rychnov nad Kněžnou,CZ0524,Kostelec nad Orlicí ,5208,Kostelec nad Orlicí,576361,Palackého náměstí,36,č.p.,,51741,http://www.skrabstejn.cz,+420494321588,klimesova@skrabstejn.cz,POINT(50.1233425 16.21083),16.21083,50.1233425,DIVFILH32,32,1804581.34093633,6467664.05353772
UFFO - Společenské centrum Trutnovska pro kulturu a volný čas,72049537,"Společenské centrum Trutnovska pro kulturu a volný čas UFFO je polyfunkční kulturní prostor v Trutnově. Díky své variabilitě, modernímu prostředí a bezbariérovému přístupu je vhodné pro divadlo, koncerty, plesy, kongresy, výstavy apod. Stavba získala ocenění ""Stavba roku 2011"" a ""TOP INVEST 2011"".",multifunkční prostor,Město Trutnov,696,ANO,tělesně postižené,Královehradecký kraj,CZ052,Trutnov,CZ0525,Trutnov,5214,Trutnov,579025,náměstí Republiky,999,č.p.,,54101,http://www.uffo.cz,+42049930099,kasik@uffo.cz,POINT(50.5633817 15.9103336),15.9103336,50.5633817,DIVFILH33,33,1771130.23470312,6544421.3951455
